image_id,image_no,image_name,image_path,longitude,latitude,width,height,format,file_size_bytes
S2_000073,73,"-113.920524,51.155004.jpg",data\processed\images\S2_000073.jpg,-113.920524,51.155004,350,350,JPEG,19676
S2_000074,74,"-113.92058,50.987268.jpg",data\processed\images\S2_000074.jpg,-113.92058,50.987268,350,350,JPEG,20346
S2_000075,75,"-113.920587,51.122479.jpg",data\processed\images\S2_000075.jpg,-113.920587,51.122479,350,350,JPEG,22434
S2_000076,76,"-113.920594,51.131947.jpg",data\processed\images\S2_000076.jpg,-113.920594,51.131947,350,350,JPEG,21445
S2_000077,77,"-113.92063,50.90217.jpg",data\processed\images\S2_000077.jpg,-113.92063,50.90217,350,350,JPEG,43782
S2_000078,78,"-113.920643,50.912461.jpg",data\processed\images\S2_000078.jpg,-113.920643,50.912461,350,350,JPEG,27132
S2_000079,79,"-113.920743,51.076598.jpg",data\processed\images\S2_000079.jpg,-113.920743,51.076598,350,350,JPEG,27536
S2_000080,80,"-113.920766,51.046588.jpg",data\processed\images\S2_000080.jpg,-113.920766,51.046588,350,350,JPEG,30971
S2_000081,81,"-113.920805,51.098429.jpg",data\processed\images\S2_000081.jpg,-113.920805,51.098429,350,350,JPEG,25634
S2_000082,82,"-113.920839,51.134405.jpg",data\processed\images\S2_000082.jpg,-113.920839,51.134405,350,350,JPEG,21486
S2_000083,83,"-113.920909,51.114409.jpg",data\processed\images\S2_000083.jpg,-113.920909,51.114409,350,350,JPEG,24473
S2_000084,84,"-113.920953,50.968529.jpg",data\processed\images\S2_000084.jpg,-113.920953,50.968529,350,350,JPEG,22127
S2_000085,85,"-113.920963,50.932806.jpg",data\processed\images\S2_000085.jpg,-113.920963,50.932806,350,350,JPEG,21363
S2_000086,86,"-113.921016,50.944725.jpg",data\processed\images\S2_000086.jpg,-113.921016,50.944725,350,350,JPEG,22860
S2_000087,87,"-113.921024,51.154202.jpg",data\processed\images\S2_000087.jpg,-113.921024,51.154202,350,350,JPEG,21212
S2_000088,88,"-113.921025,51.002899.jpg",data\processed\images\S2_000088.jpg,-113.921025,51.002899,350,350,JPEG,19561
S2_000089,89,"-113.92103,50.895734.jpg",data\processed\images\S2_000089.jpg,-113.92103,50.895734,350,350,JPEG,48615
S2_000090,90,"-113.921055,51.074763.jpg",data\processed\images\S2_000090.jpg,-113.921055,51.074763,350,350,JPEG,30018
S2_000091,91,"-113.921209,50.988972.jpg",data\processed\images\S2_000091.jpg,-113.921209,50.988972,350,350,JPEG,18429
S2_000092,92,"-113.921209,51.034929.jpg",data\processed\images\S2_000092.jpg,-113.921209,51.034929,350,350,JPEG,23128
S2_000093,93,"-113.921306,51.0099.jpg",data\processed\images\S2_000093.jpg,-113.921306,51.0099,350,350,JPEG,21994
S2_000094,94,"-113.921591,50.952677.jpg",data\processed\images\S2_000094.jpg,-113.921591,50.952677,350,350,JPEG,24771
S2_000095,95,"-113.921653,51.039465.jpg",data\processed\images\S2_000095.jpg,-113.921653,51.039465,350,350,JPEG,26700
S2_000096,96,"-113.921728,50.99875.jpg",data\processed\images\S2_000096.jpg,-113.921728,50.99875,350,350,JPEG,19616
S2_000097,97,"-113.921783,51.098583.jpg",data\processed\images\S2_000097.jpg,-113.921783,51.098583,350,350,JPEG,27947
S2_000098,98,"-113.922003,50.901663.jpg",data\processed\images\S2_000098.jpg,-113.922003,50.901663,350,350,JPEG,42894
S2_000099,99,"-113.922071,50.935324.jpg",data\processed\images\S2_000099.jpg,-113.922071,50.935324,350,350,JPEG,24460
S2_000100,100,"-113.922326,51.003373.jpg",data\processed\images\S2_000100.jpg,-113.922326,51.003373,350,350,JPEG,17944
S2_000101,101,"-113.922516,51.059891.jpg",data\processed\images\S2_000101.jpg,-113.922516,51.059891,350,350,JPEG,30748
S2_000102,102,"-113.922558,51.134122.jpg",data\processed\images\S2_000102.jpg,-113.922558,51.134122,350,350,JPEG,22685
S2_000103,103,"-113.922563,51.125433.jpg",data\processed\images\S2_000103.jpg,-113.922563,51.125433,350,350,JPEG,30326
S2_000104,104,"-113.922591,51.104753.jpg",data\processed\images\S2_000104.jpg,-113.922591,51.104753,350,350,JPEG,31985
S2_000105,105,"-113.922643,51.09118.jpg",data\processed\images\S2_000105.jpg,-113.922643,51.09118,350,350,JPEG,29761
S2_000106,106,"-113.922911,51.086965.jpg",data\processed\images\S2_000106.jpg,-113.922911,51.086965,350,350,JPEG,32000
S2_000107,107,"-113.922985,50.961745.jpg",data\processed\images\S2_000107.jpg,-113.922985,50.961745,350,350,JPEG,23591
S2_000108,108,"-113.92309,50.956223.jpg",data\processed\images\S2_000108.jpg,-113.92309,50.956223,350,350,JPEG,24155
S2_000109,109,"-113.923122,50.969869.jpg",data\processed\images\S2_000109.jpg,-113.923122,50.969869,350,350,JPEG,22111
S2_000110,110,"-113.923148,51.161817.jpg",data\processed\images\S2_000110.jpg,-113.923148,51.161817,350,350,JPEG,19207
S2_000111,111,"-113.923332,51.108785.jpg",data\processed\images\S2_000111.jpg,-113.923332,51.108785,350,350,JPEG,34668
S2_000112,112,"-113.923422,51.142416.jpg",data\processed\images\S2_000112.jpg,-113.923422,51.142416,350,350,JPEG,18504
S2_000113,113,"-113.923439,50.915502.jpg",data\processed\images\S2_000113.jpg,-113.923439,50.915502,350,350,JPEG,43229
S2_000114,114,"-113.923494,51.074623.jpg",data\processed\images\S2_000114.jpg,-113.923494,51.074623,350,350,JPEG,37137
S2_000115,115,"-113.923582,50.933914.jpg",data\processed\images\S2_000115.jpg,-113.923582,50.933914,350,350,JPEG,23719
S2_000116,116,"-113.923602,51.031583.jpg",data\processed\images\S2_000116.jpg,-113.923602,51.031583,350,350,JPEG,21259
